chargeback_id,transaction_id,chargeback_date,reason,chargeback_amount
CB001076,T0167318,2023-04-21,Duplicate Transaction,237.38
CB001077,T0163227,2024-02-29,Fraud,359.09
CB001078,T0122277,2023-03-27,Customer Dispute,473.19
CB001079,T0142162,2024-03-17,Fraud,197.24
CB001080,T0003073,2024-02-23,Fraud,258.9
CB001081,T0107381,2024-06-06,Customer Dispute,84.17
CB001082,T0001791,2024-07-09,Duplicate Transaction,394.45
CB001083,T0123358,2023-11-15,Fraud,469.22
CB001084,T0014315,2023-07-23,Customer Dispute,156.15
CB001085,T0193633,2024-03-06,Fraud,382.19
CB001086,T0004753,2023-08-11,Fraud,128.89
CB001087,T0175243,2024-05-14,Customer Dispute,336.42
CB001088,T0164047,2023-09-25,Fraud,334.26
CB001089,T0036271,2023-05-15,Customer Dispute,408.37
CB001090,T0028884,2023-06-26,Duplicate Transaction,172.98
CB001091,T0109622,2023-08-31,Fraud,446.58
CB001092,T0050132,2024-06-16,Customer Dispute,68.81
CB001093,T0102089,2023-04-25,Customer Dispute,106.61
CB001094,T0072896,2023-02-24,Customer Dispute,452.39
CB001095,T0042260,2023-12-27,Fraud,107.07
CB001096,T0112528,2024-03-22,Customer Dispute,312.21
CB001097,T0112349,2024-01-21,Customer Dispute,262.92
CB001098,T0089686,2023-02-13,Fraud,207.86
CB001099,T0121822,2024-05-18,Fraud,79.46
CB001100,T0086330,2023-07-20,Duplicate Transaction,286.4
CB001101,T0100939,2023-07-04,Customer Dispute,469.91
CB001102,T0040662,2024-01-16,Duplicate Transaction,241.79
CB001103,T0133831,2024-01-16,Duplicate Transaction,380.07
CB001104,T0179166,2023-02-08,Fraud,91.25
CB001105,T0190606,2024-04-21,Fraud,373.05
CB001106,T0184724,2024-02-08,Customer Dispute,274.56
CB001107,T0034193,2024-03-28,Customer Dispute,302.32
CB001108,T0187315,2024-04-10,Fraud,90.44
CB001109,T0080763,2024-02-15,Duplicate Transaction,384.8
CB001110,T0108233,2023-08-14,Customer Dispute,223.04
CB001111,T0133210,2024-05-17,Customer Dispute,161.9
CB001112,T0044075,2024-04-10,Fraud,420.79
CB001113,T0000550,2024-03-05,Fraud,401.06
CB001114,T0146955,2023-05-26,Fraud,472.06
CB001115,T0053877,2024-06-25,Fraud,356.74
CB001116,T0093613,2023-02-11,Duplicate Transaction,58.4
CB001117,T0035872,2023-08-26,Fraud,228.24
CB001118,T0053311,2023-12-03,Customer Dispute,436.62
CB001119,T0140450,2023-04-16,Fraud,89.22
CB001120,T0078483,2024-05-28,Customer Dispute,242.85
CB001121,T0133591,2024-06-08,Customer Dispute,239.66
CB001122,T0020953,2023-11-22,Fraud,266.93
CB001123,T0052420,2024-02-13,Fraud,187.7
CB001124,T0011476,2023-04-15,Fraud,192.82
CB001125,T0180571,2023-08-30,Fraud,9.27
CB001126,T0095489,2023-12-21,Duplicate Transaction,218.27
CB001127,T0066110,2023-06-28,Customer Dispute,381.47
CB001128,T0075453,2024-04-28,Customer Dispute,252.43
CB001129,T0186918,2023-09-06,Customer Dispute,405.69
CB001130,T0142032,2023-10-19,Customer Dispute,180.77
CB001131,T0003300,2023-09-25,Fraud,316.16
CB001132,T0069971,2024-02-14,Customer Dispute,250.08
CB001133,T0117355,2024-01-15,Fraud,266.71
CB001134,T0060055,2023-02-20,Customer Dispute,358.1
CB001135,T0030434,2023-08-24,Duplicate Transaction,217.45
CB001136,T0071050,2023-06-26,Duplicate Transaction,16.14
CB001137,T0190943,2023-12-25,Customer Dispute,397.71
CB001138,T0140661,2024-06-16,Fraud,422.11
CB001139,T0036738,2024-06-29,Fraud,249.23
CB001140,T0018887,2024-01-26,Customer Dispute,251.45
CB001141,T0080183,2023-01-18,Duplicate Transaction,457.37
CB001142,T0046453,2023-02-22,Fraud,466.73
CB001143,T0048570,2024-01-20,Fraud,27.43
CB001144,T0164590,2024-05-29,Customer Dispute,204.28
CB001145,T0101999,2023-03-05,Customer Dispute,253.84
CB001146,T0039515,2023-02-15,Fraud,135.39
CB001147,T0193532,2023-03-02,Fraud,251.98
CB001148,T0178734,2024-04-12,Duplicate Transaction,72.58
CB001149,T0086303,2023-03-07,Duplicate Transaction,486.33
CB001150,T0196322,2023-11-07,Fraud,155.96
CB001151,T0028628,2024-06-12,Customer Dispute,429.9
CB001152,T0004191,2023-02-04,Customer Dispute,58.0
CB001153,T0006706,2024-06-30,Customer Dispute,215.18
CB001154,T0150931,2024-02-07,Duplicate Transaction,335.85
CB001155,T0160426,2024-05-05,Duplicate Transaction,447.62
CB001156,T0000796,2024-04-22,Fraud,399.3
CB001157,T0172969,2023-12-14,Fraud,337.29
CB001158,T0023421,2023-12-22,Fraud,425.39
CB001159,T0055209,2023-04-05,Duplicate Transaction,321.78
CB001160,T0167946,2024-05-11,Fraud,134.4
CB001161,T0148743,2023-03-15,Customer Dispute,115.49
CB001162,T0156083,2024-07-06,Duplicate Transaction,410.54
CB001163,T0094888,2023-08-08,Customer Dispute,35.4
CB001164,T0063664,2023-06-11,Duplicate Transaction,194.57
CB001165,T0003162,2024-06-26,Fraud,109.61
CB001166,T0038364,2023-11-29,Customer Dispute,477.45
CB001167,T0077162,2024-01-20,Fraud,81.68
CB001168,T0058873,2024-01-15,Customer Dispute,208.69
CB001169,T0016354,2023-06-28,Customer Dispute,361.91
CB001170,T0150708,2024-05-05,Fraud,387.91
CB001171,T0039445,2024-01-12,Customer Dispute,106.48
CB001172,T0030678,2023-12-03,Fraud,203.3
CB001173,T0081831,2023-03-15,Customer Dispute,380.04
CB001174,T0110729,2023-05-29,Fraud,130.87
CB001175,T0125272,2023-03-07,Customer Dispute,185.74
CB001176,T0132325,2024-06-05,Customer Dispute,208.47
CB001177,T0128087,2024-03-02,Fraud,411.53
CB001178,T0038811,2023-08-20,Duplicate Transaction,95.43
CB001179,T0122893,2023-10-13,Fraud,386.34
CB001180,T0141360,2023-05-22,Customer Dispute,202.6
CB001181,T0048104,2023-12-30,Customer Dispute,56.47
CB001182,T0152664,2023-12-21,Customer Dispute,482.28
CB001183,T0025519,2023-09-20,Fraud,56.01
CB001184,T0133709,2023-02-25,Fraud,53.13
CB001185,T0174111,2023-11-06,Fraud,215.2
CB001186,T0195598,2023-09-17,Fraud,284.31
CB001187,T0057672,2023-03-19,Fraud,443.72
CB001188,T0070970,2024-03-30,Fraud,436.55
CB001189,T0143066,2024-03-01,Customer Dispute,105.5
CB001190,T0031945,2023-01-27,Customer Dispute,84.71
CB001191,T0003366,2023-11-17,Customer Dispute,458.01
CB001192,T0167828,2023-11-20,Duplicate Transaction,50.26
CB001193,T0102636,2023-04-02,Customer Dispute,347.52
CB001194,T0053927,2024-01-17,Customer Dispute,337.45
CB001195,T0158072,2023-11-24,Duplicate Transaction,300.31
CB001196,T0131832,2024-06-20,Customer Dispute,201.07
CB001197,T0108204,2024-05-10,Fraud,288.93
CB001198,T0127206,2024-01-22,Customer Dispute,299.85
CB001199,T0029562,2024-06-04,Fraud,20.32
CB001200,T0104977,2024-05-14,Fraud,252.03
CB001201,T0121138,2023-07-02,Fraud,202.1
CB001202,T0154314,2023-06-09,Customer Dispute,327.82
CB001203,T0057618,2023-05-19,Customer Dispute,440.21
CB001204,T0133698,2023-06-18,Duplicate Transaction,306.85
CB001205,T0141672,2024-06-17,Fraud,215.45
CB001206,T0175914,2023-05-17,Customer Dispute,119.64
CB001207,T0070026,2024-03-15,Fraud,217.14
CB001208,T0082784,2023-08-29,Fraud,63.98
CB001209,T0020089,2023-08-17,Duplicate Transaction,463.27
CB001210,T0183883,2023-08-11,Customer Dispute,346.61
CB001211,T0042278,2023-01-25,Customer Dispute,331.29
CB001212,T0047732,2024-05-30,Customer Dispute,128.81
CB001213,T0187144,2023-08-14,Customer Dispute,341.14
CB001214,T0061739,2024-04-04,Fraud,388.45
CB001215,T0053100,2023-05-31,Fraud,359.61
CB001216,T0031685,2024-05-19,Customer Dispute,422.4
CB001217,T0004569,2023-03-18,Customer Dispute,466.97
CB001218,T0020219,2024-05-19,Customer Dispute,205.45
CB001219,T0164326,2024-01-03,Duplicate Transaction,465.31
CB001220,T0061758,2023-06-11,Customer Dispute,390.76
CB001221,T0189333,2024-02-11,Fraud,382.49
CB001222,T0001399,2024-07-12,Duplicate Transaction,240.61
CB001223,T0062484,2023-05-08,Customer Dispute,157.3
CB001224,T0053747,2023-06-24,Fraud,54.06
CB001225,T0065738,2023-05-05,Fraud,357.33
CB001226,T0004856,2024-02-18,Fraud,180.87
CB001227,T0140958,2024-03-15,Fraud,136.27
CB001228,T0111688,2023-04-14,Customer Dispute,462.42
CB001229,T0072480,2024-02-02,Fraud,19.17
CB001230,T0035509,2023-03-08,Fraud,84.77
CB001231,T0143265,2024-01-14,Customer Dispute,437.66
CB001232,T0104875,2023-09-30,Customer Dispute,481.41
CB001233,T0170695,2023-12-27,Customer Dispute,351.46
CB001234,T0105457,2023-07-10,Fraud,66.38
CB001235,T0160344,2024-05-29,Fraud,404.96
CB001236,T0036953,2024-06-07,Fraud,487.18
CB001237,T0107871,2024-05-19,Customer Dispute,138.78
CB001238,T0140854,2024-05-02,Customer Dispute,132.22
CB001239,T0070584,2023-09-23,Fraud,96.22
CB001240,T0035522,2023-08-09,Customer Dispute,302.36
CB001241,T0133639,2023-05-31,Customer Dispute,320.34
CB001242,T0145680,2023-12-07,Customer Dispute,319.16
CB001243,T0114705,2023-04-26,Fraud,271.45
CB001244,T0119791,2023-04-28,Fraud,283.45
CB001245,T0180811,2023-09-13,Fraud,377.81
CB001246,T0176592,2024-04-13,Customer Dispute,428.76
CB001247,T0010145,2023-04-09,Customer Dispute,384.33
CB001248,T0102931,2023-04-03,Fraud,119.69
CB001249,T0147602,2024-06-13,Fraud,205.96
CB001250,T0053221,2023-08-08,Duplicate Transaction,12.69
CB001251,T0080052,2024-06-21,Customer Dispute,63.27
CB001252,T0178896,2023-03-07,Fraud,246.5
CB001253,T0049686,2023-02-23,Fraud,237.45
CB001254,T0088183,2023-03-10,Fraud,145.96
CB001255,T0105051,2024-04-30,Customer Dispute,431.72
CB001256,T0174191,2024-02-03,Customer Dispute,369.5
CB001257,T0198514,2024-03-30,Fraud,312.51
CB001258,T0021732,2024-01-30,Duplicate Transaction,186.26
CB001259,T0081336,2023-11-15,Customer Dispute,36.89
CB001260,T0008751,2023-05-11,Duplicate Transaction,70.94
CB001261,T0155431,2023-09-09,Customer Dispute,325.33
CB001262,T0062202,2023-08-09,Duplicate Transaction,468.7
CB001263,T0195590,2024-02-17,Duplicate Transaction,59.66
CB001264,T0086827,2023-03-07,Customer Dispute,252.95
CB001265,T0178505,2024-01-15,Customer Dispute,442.03
CB001266,T0030316,2023-05-19,Customer Dispute,387.64
CB001267,T0097062,2023-06-01,Fraud,45.71
CB001268,T0003449,2023-01-16,Customer Dispute,264.02
CB001269,T0049082,2023-04-06,Duplicate Transaction,386.91
CB001270,T0014783,2024-02-01,Duplicate Transaction,323.2
CB001271,T0126595,2024-05-30,Fraud,334.18
CB001272,T0194025,2024-04-04,Customer Dispute,15.87
CB001273,T0141894,2024-06-28,Duplicate Transaction,271.79
CB001274,T0055103,2023-12-17,Customer Dispute,486.47
CB001275,T0090993,2023-12-24,Customer Dispute,473.8
CB001276,T0105801,2023-03-03,Fraud,128.24
CB001277,T0155756,2023-04-08,Fraud,409.2
CB001278,T0033563,2023-07-04,Duplicate Transaction,431.12
CB001279,T0028210,2023-05-02,Customer Dispute,302.34
CB001280,T0000948,2023-10-04,Customer Dispute,7.47
CB001281,T0115853,2024-05-25,Customer Dispute,68.37
CB001282,T0055854,2023-07-18,Fraud,430.93
CB001283,T0167765,2024-01-12,Fraud,447.15
CB001284,T0138176,2023-06-22,Fraud,274.35
CB001285,T0070358,2024-04-05,Customer Dispute,159.32
CB001286,T0152079,2023-01-30,Fraud,355.11
CB001287,T0141254,2023-09-03,Customer Dispute,430.59
CB001288,T0082798,2023-07-26,Fraud,219.47
CB001289,T0125640,2023-12-06,Duplicate Transaction,88.41
CB001290,T0129865,2023-05-18,Duplicate Transaction,453.81
CB001291,T0001577,2024-07-02,Fraud,205.88
CB001292,T0126397,2023-02-17,Duplicate Transaction,244.12
CB001293,T0181672,2024-05-04,Fraud,65.59
CB001294,T0187062,2023-03-13,Fraud,426.39
CB001295,T0071451,2023-05-26,Customer Dispute,258.38
CB001296,T0151928,2024-04-25,Customer Dispute,365.64
CB001297,T0190746,2023-10-11,Duplicate Transaction,383.2
CB001298,T0159701,2023-12-21,Fraud,204.05
CB001299,T0075527,2023-12-28,Customer Dispute,98.49
CB001300,T0027986,2023-05-28,Customer Dispute,17.54
CB001301,T0036962,2023-11-19,Duplicate Transaction,348.17
CB001302,T0039456,2023-05-30,Customer Dispute,241.29
CB001303,T0196619,2024-01-09,Customer Dispute,259.76
CB001304,T0180174,2023-04-17,Customer Dispute,291.03
CB001305,T0127756,2023-02-06,Customer Dispute,83.48
CB001306,T0012856,2023-12-21,Customer Dispute,303.43
CB001307,T0141594,2024-01-30,Duplicate Transaction,63.95
CB001308,T0013041,2024-06-11,Fraud,21.74
CB001309,T0130059,2023-05-07,Customer Dispute,393.22
CB001310,T0154694,2023-03-24,Fraud,289.0
CB001311,T0194857,2024-07-05,Fraud,496.79
CB001312,T0072430,2023-07-06,Customer Dispute,258.59
CB001313,T0112055,2023-09-19,Customer Dispute,388.99
CB001314,T0044736,2023-04-01,Fraud,259.65
CB001315,T0104166,2023-04-30,Fraud,324.3
CB001316,T0139201,2023-04-04,Fraud,279.92
CB001317,T0111572,2023-02-03,Fraud,468.41
CB001318,T0177503,2024-01-14,Fraud,51.96
CB001319,T0185102,2023-08-17,Fraud,173.75
CB001320,T0095771,2023-09-16,Fraud,464.36
CB001321,T0017025,2023-01-29,Customer Dispute,119.81
CB001322,T0093371,2023-11-30,Customer Dispute,14.25
CB001323,T0013325,2024-02-16,Customer Dispute,220.53
CB001324,T0183694,2023-12-23,Duplicate Transaction,303.49
CB001325,T0122705,2024-06-04,Fraud,97.12
CB001326,T0169941,2023-02-26,Duplicate Transaction,40.71
CB001327,T0180559,2024-01-31,Fraud,497.62
CB001328,T0006394,2023-08-01,Customer Dispute,185.95
CB001329,T0005116,2023-07-28,Fraud,390.48
CB001330,T0139763,2023-09-04,Customer Dispute,388.19
CB001331,T0145729,2024-07-03,Customer Dispute,234.83
CB001332,T0090449,2023-05-25,Customer Dispute,252.91
CB001333,T0096406,2024-03-16,Customer Dispute,425.1
CB001334,T0075431,2023-06-28,Fraud,198.74
CB001335,T0057699,2023-12-21,Customer Dispute,453.55
CB001336,T0067554,2023-12-05,Customer Dispute,437.73
CB001337,T0092992,2023-02-19,Fraud,487.56
CB001338,T0158954,2023-12-11,Customer Dispute,44.09
CB001339,T0019894,2023-05-28,Customer Dispute,318.63
CB001340,T0041602,2023-05-30,Duplicate Transaction,129.39
CB001341,T0004614,2023-07-22,Fraud,266.17
CB001342,T0083417,2023-05-19,Customer Dispute,440.31
CB001343,T0119424,2024-06-26,Fraud,276.7
CB001344,T0132376,2024-01-06,Customer Dispute,260.7
CB001345,T0123726,2023-06-14,Customer Dispute,166.19
CB001346,T0112925,2024-01-30,Duplicate Transaction,494.15
CB001347,T0053759,2024-05-02,Fraud,406.59
CB001348,T0157810,2023-06-05,Fraud,351.55
CB001349,T0102963,2023-12-20,Customer Dispute,142.78
CB001350,T0078583,2024-07-05,Duplicate Transaction,457.63
CB001351,T0197262,2024-02-27,Customer Dispute,113.83
CB001352,T0135323,2024-01-25,Duplicate Transaction,404.09
CB001353,T0070620,2023-03-30,Fraud,361.63
CB001354,T0036858,2024-04-16,Customer Dispute,443.04
CB001355,T0124003,2023-04-18,Fraud,187.83
CB001356,T0167364,2024-03-01,Fraud,484.26
CB001357,T0119622,2023-09-04,Duplicate Transaction,118.85
CB001358,T0135609,2023-06-14,Fraud,252.23
CB001359,T0024482,2023-12-09,Fraud,12.41
CB001360,T0152161,2023-06-03,Customer Dispute,471.27
CB001361,T0196797,2023-12-28,Customer Dispute,21.71
CB001362,T0084027,2024-01-09,Fraud,82.27
CB001363,T0187627,2024-01-13,Customer Dispute,121.08
CB001364,T0102137,2023-06-29,Customer Dispute,307.17
CB001365,T0109064,2024-05-14,Duplicate Transaction,154.37
CB001366,T0093044,2024-05-06,Fraud,454.82
CB001367,T0120540,2023-11-25,Fraud,299.53
CB001368,T0087988,2023-09-16,Duplicate Transaction,93.08
CB001369,T0148834,2023-07-27,Fraud,6.07
CB001370,T0193975,2023-06-04,Customer Dispute,492.21
CB001371,T0176297,2024-06-27,Customer Dispute,465.04
CB001372,T0042050,2024-02-05,Customer Dispute,75.32
CB001373,T0083775,2023-08-07,Customer Dispute,322.94
CB001374,T0005819,2023-08-12,Fraud,46.95
CB001375,T0163841,2023-02-08,Fraud,265.47
CB001376,T0093155,2023-07-09,Customer Dispute,20.08
CB001377,T0148652,2023-03-20,Fraud,405.27
CB001378,T0005858,2024-03-01,Fraud,179.56
CB001379,T0093011,2023-10-08,Customer Dispute,218.34
CB001380,T0011097,2023-06-11,Fraud,420.15
CB001381,T0113624,2023-02-08,Fraud,328.12
CB001382,T0182768,2023-05-09,Customer Dispute,456.35
CB001383,T0019454,2023-03-03,Fraud,362.37
CB001384,T0115453,2023-06-05,Fraud,42.46
CB001385,T0039079,2023-06-05,Fraud,308.88
CB001386,T0108566,2023-09-19,Customer Dispute,408.17
CB001387,T0167749,2023-02-26,Fraud,465.19
CB001388,T0198119,2023-10-23,Duplicate Transaction,194.73
CB001389,T0025828,2023-05-16,Fraud,366.61
CB001390,T0187898,2023-11-16,Duplicate Transaction,94.69
CB001391,T0124072,2023-05-25,Customer Dispute,66.63
CB001392,T0157296,2024-05-06,Fraud,190.43
CB001393,T0133177,2024-02-18,Fraud,458.87
CB001394,T0113943,2023-04-25,Fraud,318.51
CB001395,T0121480,2023-10-24,Customer Dispute,186.38
CB001396,T0062247,2023-04-27,Fraud,273.28
CB001397,T0013480,2024-06-03,Customer Dispute,286.66
CB001398,T0044497,2024-03-23,Customer Dispute,117.28
CB001399,T0025338,2024-05-28,Fraud,137.08
CB001400,T0141994,2024-01-19,Fraud,113.79
CB001401,T0029748,2023-02-09,Fraud,299.28
CB001402,T0166771,2023-10-08,Fraud,479.59
CB001403,T0129669,2024-01-10,Customer Dispute,373.9
CB001404,T0076706,2023-07-07,Fraud,71.44
CB001405,T0067405,2024-05-26,Customer Dispute,193.87
CB001406,T0129928,2024-02-09,Duplicate Transaction,5.27
CB001407,T0193226,2023-01-24,Customer Dispute,287.62
CB001408,T0075660,2023-07-29,Fraud,237.31
CB001409,T0102791,2024-01-27,Fraud,214.93
CB001410,T0025592,2024-06-06,Fraud,343.87
CB001411,T0088871,2023-03-12,Customer Dispute,244.64
CB001412,T0050672,2023-05-10,Fraud,477.06
CB001413,T0051396,2023-04-30,Fraud,88.62
CB001414,T0120402,2024-07-05,Fraud,138.36
CB001415,T0050583,2023-04-22,Customer Dispute,486.75
CB001416,T0178798,2023-10-17,Customer Dispute,414.93
CB001417,T0190615,2024-06-10,Fraud,451.06
CB001418,T0091002,2024-05-08,Fraud,309.62
CB001419,T0167482,2023-10-02,Fraud,52.15
CB001420,T0069778,2024-01-07,Fraud,424.69
CB001421,T0074285,2023-11-26,Customer Dispute,246.6
CB001422,T0199582,2024-05-27,Duplicate Transaction,249.45
CB001423,T0070427,2024-06-17,Fraud,337.75
CB001424,T0158038,2023-06-04,Customer Dispute,99.06
CB001425,T0140620,2024-04-03,Duplicate Transaction,331.51
CB001426,T0121840,2024-06-29,Customer Dispute,425.99
CB001427,T0078365,2023-05-14,Customer Dispute,418.05
CB001428,T0192986,2023-03-21,Fraud,202.28
CB001429,T0057390,2023-07-22,Customer Dispute,174.61
CB001430,T0165658,2023-07-29,Customer Dispute,240.86
CB001431,T0124756,2024-02-23,Fraud,361.74
CB001432,T0002347,2023-07-04,Fraud,125.14
CB001433,T0105808,2024-05-18,Duplicate Transaction,259.36
CB001434,T0026457,2023-01-21,Fraud,258.34
CB001435,T0170100,2023-10-11,Customer Dispute,174.74
CB001436,T0139239,2024-06-01,Fraud,160.74
CB001437,T0159077,2023-08-15,Duplicate Transaction,46.84
CB001438,T0044659,2023-11-27,Customer Dispute,167.12
CB001439,T0018130,2024-01-12,Fraud,121.02
CB001440,T0046534,2024-04-02,Customer Dispute,347.51
CB001441,T0053928,2023-05-25,Fraud,351.57
CB001442,T0178434,2023-05-22,Duplicate Transaction,116.28
CB001443,T0199978,2024-05-09,Fraud,205.91
CB001444,T0178140,2023-08-08,Customer Dispute,313.04
CB001445,T0097464,2023-12-28,Customer Dispute,67.59
CB001446,T0174578,2023-09-04,Customer Dispute,205.24
CB001447,T0170369,2024-01-19,Duplicate Transaction,184.48
CB001448,T0001157,2024-05-11,Duplicate Transaction,11.3
CB001449,T0112650,2023-02-02,Customer Dispute,478.93
CB001450,T0140633,2023-02-14,Fraud,409.54
CB001451,T0137854,2023-07-08,Duplicate Transaction,185.63
CB001452,T0027992,2023-10-15,Fraud,449.91
CB001453,T0053201,2024-03-12,Duplicate Transaction,497.32
CB001454,T0192566,2023-08-29,Fraud,88.27
CB001455,T0012980,2023-07-01,Fraud,245.71
CB001456,T0069056,2023-07-16,Fraud,123.43
CB001457,T0129817,2023-02-25,Fraud,353.66
CB001458,T0066375,2024-03-14,Customer Dispute,104.29
CB001459,T0146561,2023-02-22,Duplicate Transaction,146.48
CB001460,T0029507,2023-11-26,Duplicate Transaction,454.86
CB001461,T0023765,2024-04-18,Duplicate Transaction,89.15
CB001462,T0078459,2024-01-20,Fraud,210.46
CB001463,T0061625,2024-06-24,Fraud,436.57
CB001464,T0108726,2023-09-25,Customer Dispute,448.74
CB001465,T0076761,2024-05-29,Fraud,95.25
CB001466,T0089209,2023-03-01,Fraud,423.08
CB001467,T0148919,2023-07-11,Fraud,294.65
CB001468,T0032524,2024-03-29,Fraud,124.45
CB001469,T0127991,2023-02-04,Duplicate Transaction,243.38
CB001470,T0071085,2023-12-16,Customer Dispute,417.43
CB001471,T0119544,2024-03-31,Customer Dispute,486.66
CB001472,T0037725,2023-02-24,Fraud,92.26
CB001473,T0084079,2023-10-05,Fraud,217.56
CB001474,T0071375,2023-07-02,Duplicate Transaction,392.94
CB001475,T0055029,2023-05-05,Fraud,247.93
CB001476,T0019285,2023-02-03,Customer Dispute,78.64
CB001477,T0188774,2024-03-12,Fraud,245.08
CB001478,T0199113,2023-05-01,Duplicate Transaction,111.88
CB001479,T0098280,2023-11-26,Customer Dispute,149.81
CB001480,T0199418,2023-09-20,Fraud,239.36
CB001481,T0179613,2024-02-02,Fraud,321.96
CB001482,T0145130,2024-01-14,Duplicate Transaction,164.18
CB001483,T0162670,2024-04-18,Fraud,257.94
CB001484,T0135349,2024-05-06,Customer Dispute,404.52
CB001485,T0019005,2023-04-28,Duplicate Transaction,98.47
CB001486,T0012340,2023-08-07,Duplicate Transaction,446.19
CB001487,T0091350,2023-05-30,Fraud,295.88
CB001488,T0123185,2023-12-04,Customer Dispute,100.33
CB001489,T0014371,2023-05-27,Customer Dispute,379.85
CB001490,T0130952,2024-06-23,Fraud,30.28
CB001491,T0037547,2023-10-30,Customer Dispute,392.21
CB001492,T0012795,2023-08-31,Customer Dispute,69.57
CB001493,T0094685,2024-03-16,Customer Dispute,54.69
CB001494,T0142522,2023-02-16,Duplicate Transaction,293.07
CB001495,T0031682,2024-01-26,Fraud,166.93
CB001496,T0033364,2023-07-23,Customer Dispute,304.41
CB001497,T0185901,2024-02-12,Fraud,297.0
CB001498,T0031137,2023-03-03,Duplicate Transaction,458.48
CB001499,T0178683,2023-12-03,Customer Dispute,272.02
CB001500,T0102897,2023-12-24,Customer Dispute,354.67
CB001501,T0070052,2023-03-01,Customer Dispute,27.48
CB001502,T0170689,2023-11-13,Fraud,38.56
CB001503,T0028711,2024-04-25,Fraud,330.02
CB001504,T0018635,2024-03-31,Fraud,497.19
CB001505,T0086104,2023-06-06,Fraud,401.78
CB001506,T0199760,2023-06-22,Fraud,166.11
CB001507,T0030281,2023-02-18,Fraud,105.28
CB001508,T0177029,2024-01-07,Duplicate Transaction,190.84
CB001509,T0028058,2024-04-05,Fraud,215.15
CB001510,T0103289,2024-02-26,Fraud,412.13
CB001511,T0113971,2023-10-30,Customer Dispute,438.59
CB001512,T0106878,2024-06-13,Customer Dispute,390.52
CB001513,T0016810,2023-06-28,Customer Dispute,176.8
CB001514,T0041786,2024-05-31,Fraud,249.89
CB001515,T0118639,2024-05-06,Customer Dispute,308.15
CB001516,T0084526,2024-05-03,Customer Dispute,318.29
CB001517,T0158865,2024-05-10,Duplicate Transaction,291.99
CB001518,T0172611,2024-03-19,Customer Dispute,237.74
CB001519,T0088118,2023-04-07,Fraud,282.1
CB001520,T0174512,2023-04-24,Fraud,497.51
CB001521,T0070897,2023-02-03,Duplicate Transaction,316.58
CB001522,T0072719,2023-01-30,Customer Dispute,22.96
CB001523,T0193878,2024-04-25,Customer Dispute,361.12
CB001524,T0040601,2024-01-26,Customer Dispute,256.66
CB001525,T0100198,2023-08-03,Fraud,124.46
CB001526,T0190745,2024-05-24,Customer Dispute,468.39
CB001527,T0124837,2024-05-26,Duplicate Transaction,145.36
CB001528,T0148664,2023-08-19,Duplicate Transaction,387.66
CB001529,T0054394,2024-03-12,Fraud,385.52
CB001530,T0062519,2024-05-12,Fraud,251.07
CB001531,T0154265,2023-08-08,Customer Dispute,448.16
CB001532,T0126572,2024-07-03,Fraud,221.99
CB001533,T0169348,2023-09-02,Fraud,21.79
CB001534,T0155288,2023-09-11,Customer Dispute,178.76
CB001535,T0097527,2023-03-20,Customer Dispute,436.26
CB001536,T0195431,2024-03-12,Fraud,474.84
CB001537,T0151419,2023-11-15,Customer Dispute,362.33
CB001538,T0015141,2024-01-01,Fraud,410.05
CB001539,T0022676,2023-05-02,Customer Dispute,9.63
CB001540,T0029734,2024-04-12,Fraud,344.71
CB001541,T0003064,2023-09-13,Customer Dispute,435.1
CB001542,T0080173,2023-05-30,Fraud,124.68
CB001543,T0048544,2023-07-19,Fraud,357.01
CB001544,T0100088,2024-04-09,Customer Dispute,308.7
CB001545,T0164180,2023-05-31,Fraud,480.52
CB001546,T0009156,2023-09-20,Customer Dispute,302.83
CB001547,T0176464,2023-04-02,Fraud,257.32
CB001548,T0138514,2024-03-13,Customer Dispute,448.63
CB001549,T0047676,2023-09-16,Customer Dispute,403.27
CB001550,T0157349,2024-04-23,Duplicate Transaction,56.54
CB001551,T0182608,2024-03-12,Fraud,11.12
CB001552,T0154837,2024-03-21,Customer Dispute,357.07
CB001553,T0034787,2023-07-10,Fraud,82.14
CB001554,T0043220,2023-03-09,Duplicate Transaction,403.27
CB001555,T0069009,2023-12-16,Duplicate Transaction,162.59
CB001556,T0139204,2023-08-30,Fraud,134.37
CB001557,T0134970,2023-09-18,Customer Dispute,255.05
CB001558,T0139590,2023-09-22,Customer Dispute,475.75
CB001559,T0160881,2023-07-11,Fraud,349.06
CB001560,T0155512,2023-05-04,Fraud,473.83
CB001561,T0024682,2024-03-17,Fraud,93.11
CB001562,T0026028,2024-02-18,Customer Dispute,94.86
CB001563,T0003243,2023-02-20,Customer Dispute,314.42
CB001564,T0003508,2023-05-03,Fraud,130.67
CB001565,T0026495,2023-11-19,Duplicate Transaction,44.22
CB001566,T0162445,2023-09-12,Customer Dispute,316.82
CB001567,T0056670,2023-08-01,Customer Dispute,51.8
CB001568,T0194367,2023-07-21,Customer Dispute,408.64
CB001569,T0103627,2023-04-29,Fraud,467.88
CB001570,T0029314,2023-07-10,Fraud,267.02
CB001571,T0118322,2023-04-08,Fraud,179.23
CB001572,T0022761,2024-05-20,Duplicate Transaction,386.03
CB001573,T0091742,2024-07-08,Fraud,359.8
